title,body
{X} Mind-Boggling Stats About The {Niche} Industry—And How Fast It’s Growing,"The {Niche} industry is on fire.
Some stats that will blow your mind:
{Stat1}
{Stat2}
{Stat3}
But it’s not until you break each of these down that you realize how quickly the {Niche} industry is really growing:
{Stat1}
This is an impressive stat at face value. But what’s 10x more impressive is {SecondaryStat}. That’s {X} times bigger than {ComparableIndustry}.
This is a signal of where things might be headed.
{Stat2}
The last time an industry saw growth like this, it was in {Date} when {Niche} was {Outcome}. (Fun fact: {FunFact}.)
And I’m betting the same thing will happen again here.
{Stat3}
As if the above wasn’t impressive enough, this stat is just mind-boggling.
To give you a sense of how big that is, that’s {EverydayComparison1}. Or {EverydayComparison2}. Or {EverydayComparison3}.
Just to put things in perspective.
Final Prediction
My guess is that the {Niche} is going to eventually overtake {ComparableIndustry1} the same way {Niche} overtook {ComparableIndustry2}. And at this rate, that will probably happen by {Date}.
What do you think? Do you agree? Disagree?
Let me know in the comments."
"{X} Rules To Live A Life Filled With {Outcome1}, {Outcome2}, {Outcome3}","Over the past {X} years, I have:
{ShockingExperience}
{OvercomeObstacle}
{Accomplishment}
And all of these things have taught me a tremendous amount about what matters in life, and what doesn’t. (Plot twist: a lot of the things I used to care about, I don’t anymore. And things I used to not care very much about are now my top priorities.)
These are my new {X} rules for life:
{LifeRule1}
{ClarifyingStatement}
{LifeRule2}
{Description}
{LifeRule3}
{ClarifyingStatement}
{LifeRule4}
{Description}"
Template #1: Mistakes & Lessons,"In this first sentence, say the mistake you made.
Now, in this second paragraph, describe the moment where you made that mistake. Where were you, who were you with, what was the context of the situation? Then, describe how it made you feel.
In this sentence, share what you learned as a result.
This first subhead is one line of advice you want to give to readers.
And in this opening sentence, explain what will happen if they don't heed your advice.
Now, in this paragraph, explain why this lesson is so important. If someone makes this same mistake, what are all the unfortunate consequences that happen as a result? (Be specific!) Conversely, if the reader heeds your advice and chooses a different path, what are all the benefits and rewards they can expect in return? (Be specific!)
Finally, in this sentence tell the reader you're going to tell them exactly how to do the above.
#1. This subhead is your first piece of actionable advice.
Here, say why it's so important.
Now, in this paragraph, quickly give them 3 more actionable steps they can take to put this larger piece of actionable advice into practice. Be specific.
#2. This subhead is your second piece of actionable advice.
Here, say why it's so important.
Now, in this paragraph, quickly give them 3 more actionable steps they can take to put this larger piece of actionable advice into practice. Be specific.
#3. This subhead is your third piece of actionable advice.
Here, say why it's so important.Now, in this paragraph, quickly give them 3 more actionable steps they can take to put this larger piece of actionable advice into practice. Be specific. 
Now, referencing your original mistake (from the very beginning), give the reader some parting words of encouragement."
Template #4: Myths,"This first sentence is a myth that exists in your industry.
In this next paragraph, explain the myth in detail. Describe it, and tell the reader why it exists. Give context as to how this myth became a myth in the first place.
Then, tell the reader why it's wrong.
In this subhead, debunk the myth.
And in this first sentence, give one concrete example as proof.
In this paragraph, expand on your one concrete example. If you are sharing from personal experience, tell a short story here to paint a picture of how you learned what you learned. If you're citing a stat or study, give a quick synopsis of all that you've read and what you've learned as a result.
Then, in this last sentence, tell the reader why it's such a mistake to believe this myth to be true.
In this subhead, tell the reader what they should be doing instead.
And in this sentence, tell them exactly how to do it/get started.
Next, explain in detail how. What steps should they take? What new skills do they need to learn? If they're going to stop living life believing in this myth, give them a path forward.
Finally, leave the reader with a few more actionable tips they can carry with them on their journey.
Tip #1: Actionable advice. In 1-2 sentences, explain what this means and/or what the reader should do with it.
Tip #2: Actionable advice. In 1-2 sentences, explain what this means and/or what the reader should do with it.
Tip #3: Actionable advice. In 1-2 sentences, explain what this means and/or what the reader should do with it.
Finally, remind the reader of what happens to people who fall into the trap of believing in this myth.
And then, referencing the above, remind them there's a better way."
I Just {LifeAchievement}: {X} Lessons About {Topic},"When I {OldLifeCompleted}, I {NewLifeBeginning}.
It was {NegativeDetail}. {NegativeDetail}. {NegativeDetail}. Honestly, the whole thing was really challenging—mentally and emotionally.
{X} years later, I just {LifeAchievement}. One of the best days of my life. But the journey was tough.
Here’s what those difficult years taught me about {Topic}:
Lesson 1: {Lesson1}
Back then, I used to {PositiveHabit}.
Despite {NegativeObstacle}.
The only difference between then and now is {UnexpectedSmallDetail}.
Lesson 2: {Lesson2}
For the first few years, all I had was a {HumbleBeginning} and a {HumbleBeginning}.
Since then, I’ve {PositiveOutcome}. But can I tell you something? Those two {HumbleBeginnings} still mean more to me than anything.
I learned early on that’s really all you need.
Lesson 3: {Lesson3}
When I was first starting out, I was so determined to achieve {X} that I deprived myself of {ShortTermOutcome}.
Everyone thought I was crazy. They used to say {NegativeComment}. But, {X} years later, I had successfully become {Outcome}.
Meanwhile, a lot of people around me hadn’t moved at all.
Lesson 4: {Lesson4}
I used to be very insecure about {Weakness}.
I was ashamed that I didn’t have {Outcome}. And I didn’t {PositiveAction} because of it. It took me a long time to realize those insecurities were holding me back.
And no amount of success would fix them for me.
Lesson 5: {Lesson5}
After college, a lot of people around me said:
{WrongAdvice}
But then I’d watch them struggle to make progress in their own lives. For years, they insisted I was should be more like them. (A lot of people told me I was “missing out.”)
But a big part of success is going in a different direction.
And remember: if it was easy, everyone would do it."
Template: Personal Story,"In this first sentence, share one specific moment of significance.
Next, put the reader in your shoes. Go back to that moment and show the reader what life looked like. What was going on in the time—outside in your physical world, and inside in your emotional world? What were some of your wants and needs at the time? What physical objects populated your experience? What was on your desk? What did your bedroom look like, your house, apartment, or dorm room? What was your biggest insecurity at the time, and what was the thing you appreciated most about yourself?
Now, tell the reader why you wanted to change.
In one bolded sentence, tell the reader what you hoped for yourself.
Back then, where did you want your life to go? Who did you want to become? What were your aspirations, and why was it so important for you to change? What did you hope would happen as a result? Most importantly, what were you searching for? What did changing represent, and what did you think (at the time) was going to happen once you achieved that change?
Now, fast-forward: in one sentence, tell the reader whether you were right or not.
In one bolded sentence, tell the reader what that change actually led to.
Were you let down? Or did things turn out better than you even imagined?
Explain to the reader what caused the change, how you changed, and how things were different after the fact. What were the unintended consequences? How did it impact other aspects of your life: your friendships, relationships, sense of self, finances, spirituality, etc.?
What was the result?
Finally, in one bolded sentence, tell the reader the morale of the story.
Why are you sharing this with the reader?
More importantly, what can they learn about themselves, through you?"
The Untold Story Of How {ThoughtLeader} Created {Creation} And Became {Status},"While no one was looking, {ThoughtLeader} created {Creation}, {Description} {Status}.
And today, {Creation} is one of the world’s most {Achievement}.
I have been fascinated by {ThoughtLeader}’s story for years, but recently I decided to go fully down the rabbit hole and learn everything I possibly could on {His/Her/Their} origin story and path to success. I probably spent {X} hours watching interviews, reading news articles, and listening to podcasts, taking notes and trying to piece their path together in a coherent way. Finally, I distilled their remarkable story down into a short essay for you to enjoy.
Here’s {ThoughtLeader}’s story:
QUICK BACKSTORY:
{ThoughtLeader} grew up in {Place}.
{Obstacle}
{WeirdFact}
THE ODDS:
To say {ThoughtLeader} was setup for success from the beginning would be an overstatement.
The odds of success for {Comparison} are {Odds}. And only {X%} make it to {FirstAccomplishment}. Which means {ThoughtLeader}’s odds of success were pretty much slim to none.
(Hey, that’s what makes for a great story!)
THE GOAL:
But {ThoughtLeader} had {His/Her/Their} sights set on {Goal}.
And for {Time}, they were relentless about {Habit1}, {Habit2}, {Habit3}.
THE OBSTACLE:
Unfortunately, success turned out to be a lot harder than they originally imagined.
{Obstacle1}
{Obstacle2}
{Obstacle3}
And by {Date}, they almost chose to give up.
THE BREAKTHROUGH:
Until one day, {MomentOfChange}.
As the story goes, {Story}.
And the rest is history.
THE ACHIEVEMENT:
Between {Date} and {Date}, {ThoughtLeader} went on to:
{Achievement1}
{Achievement2}
{Achievement3}
Maybe most importantly, they {Achievement4}.
THE LESSON:
I love {ThoughtLeader}’s story because it represents {LifeLesson}.
It reminds us of the power of {Habit1}, {Habit2}, and {Habit3}, compounded over time.
Because when we focus on the right things, where we’re headed is certain.
We just need the future to catch up."
Want To {Outcome}? Here Are {Status} {Person/Company}’s {X} Rules For {Topic},"The most {Status} {Person/Company} of the last {X} {Time} is {Name}.
But back in {Date}, {Person/Company} shared their {X} rules for {Topic}. And these rules are a must-read for {Audience1}, {Audience2}, and {Audience3} who want to {Outcome}. (If you haven’t read this yet, get ready—because this is one of those rare gems on the Internet.)
Here’s the breakdown:
Rule #1: {Rule1}
{Person/Company} reminds us that what people care about isn’t {Myth}.
It’s actually {RealAnswer}. Because {Reason1}, {Reason2}, and {Reason3}. We all know these things “in theory,” we just forget them in the moment.
You have to actively remind yourself what matters most.
Rule #2: {Rule2}
Most people who try to {Outcome} think {Myth}.
When actually, it’s usually the opposite. And the reason is because {Reason}. So, don’t fall into the trap most people do.
{RepeatRule2}
Rule #3: {Rule3}
It takes people a long time to learn this one.
Success is not about {WrongAnswer}. Instead, it’s about practicing {Rule3} over and over again—until one day, you achieve {Outcome}.
Rule #4: {Rule4}
This one is my favorite.
Whether you are a {Audience1}, {Audience2}, or {Audience3}, this rule still applies. You have to {RepeatRule4} to achieve {Outcome}.
And usually makes all the difference.
Rule #5: {Rule5}
This is true for most things in life.
Your goal should not be to {WrongOutcome}. Instead, you should be more concerned with {RightOutcome}.
Then, and only then, will you follow in the footsteps of the most {Status} {Person/Company} ever."
{X} Hidden {Platform} Features Guaranteed To {Outcome} (Written By A {Platform} Pro),"I am an expert at using {Platform}.
I started using {Platform} in {Date}, and since then I have {Experience1}, {Experience2}, and {Experience3}. At this point, I would consider myself a pro.
Unfortunately, I wasted {LongTime} because I was using the wrong {Actions}.
So, learn from my mistakes, and save yourself {Time} by using these {X} hidden {Platform} features guaranteed to {Outcome}:
Feature #1: {Feature1}
{Description}
Feature #2: {Feature2}
{Description}
Feature #3: {Feature3}
{Description}
Feature #4: {Feature4}
{Description}
Feature #5: {Feature5}
{Description}"
{X} Controversial Opinions On {Topic} 99% Of The World Agrees With—But I Do Not,"I have been interested in {Topic} for a long time.
And over the past {NumberOfYears}, I have come across a lot of strong opinions about {Topic} that, at first I agreed with, and then the more I learned and educated myself the more I disagreed with. Until eventually, I reached a point where I felt like the only reason these beliefs had become mainstream and commonly accepted was because “a lot of other people” agreed with them too.
So, I have some controversial opinions I’d like to share on {Topic} after {X} hours immersing myself in the subject:
{StrongOpinion1}
I’m not saying {SubtleDistinction}.
I’m just saying {ClarifyingStatement}.
{StrongOpinion2}
Contrary to popular belief, {ClicheAction} is a myth.
{FailureExample1}
{FailureExample2}
{FailureExample3}
{ClicheAction} is a fast-track to {UndesirableOutcome}.
{StrongOpinion3}
“Most people” do what “most people” do.
Which leads to…
{NegativeStat1}
{NegativeStat2}
{NegativeStat3}
Clearly what “most people do” doesn’t work.
So do something else.
{StrongOpinion4}
99% of the time, this is a giant mistake.
Instead, {Name} has a great framework for achieving {Outcome} without falling into {Trap}.
{Step1}
{Step2}
{Step3}
{StrongOpinion5}
Pursuing {Outcome} is a silly goal.
Because {UnconventionalReason}.
{DifferentOutcome} is a better pursuit in life.
{Benefit1}
{Benefit2}
{Benefit3}"
The Wild Story Of How {Person/Company} Achieved {UnexpectedOutcome},"According to {Source}, {Person/Company} has officially reached {GiantOutcome}.
But here’s what you probably don’t know: When {Person/Company} first started back in {Date}, they had {NoOutcome}. But just a few {Time} later, they {FirstBigOutcome}.
How did this happen? {Twist}
Here’s the story:
The Very Beginning
{Person/Company}’s story begins in {Date}, {SpecificDetail}.
{UnexpectedAnecdote}.
And while there, {Person} wasn’t even trying to {Outcome}. So, they spent their time trying to find success doing random things like:
{Experience1}
{Experience2}
{Experience3}
Until one day, everything changed.
The Moment Of Change
{MomentOfChange}.
It was {Date} and {Name} became the first {Status}.
They saw this as an opportunity—and took it.
Their gameplan:
{Tactic1}
{Tactic2}
{Tactic}
As you can probably guess: it worked.
The Pinnacle Of Success
By {Date}, {Person} had risen to a wild level of success—way beyond they probably ever thought possible for themselves.
{Outcome1}
{Outcome2}
{Outcome3}
And the rest is history.
I love this story because it is the perfect encapsulation of what it takes to achieve {Outcome}, but also shows how in order to be “lucky,” you need to put yourself in a position to receive luck.
Great reminder for anyone with big dreams."
